our,45,1
we,45,2
people,25,3
louisiana,22,4
your,17,5
rebuild,13,6
state,13,7
them,13,8
communities,12,9
who,12,10
all,11,11
not,11,12
know,9,13
new,8,14
orleans,8,15
workers,8,16
every,7,17
homes,7,18
must,7,19
shelters,7,20
thank,7,21
those,7,22
us,7,23
businesses,6,24
here,6,25
home,6,26
i'm,6,27
jobs,6,28
more,6,29
need,6,30
stand,6,31
tonight,6,32
we're,6,33
work,6,34
across,5,35
after,5,36
children,5,37
families,5,38
federal,5,39
fema,5,40
first,5,41
government,5,42
help,5,43
its,5,44
louisiana's,5,45
put,5,46
rebuilt,5,47
recovery,5,48
than,5,49
want,5,50
without,5,51
also,4,52
before,4,53
bring,4,54
citizens,4,55
family,4,56
going,4,57
housing,4,58
i've,4,59
look,4,60
lost,4,61
me,4,62
nation,4,63
never,4,64
please,4,65
restore,4,66
these,4,67
am,3,68
americans,3,69
asked,3,70
because,3,71
called,3,72
care,3,73
city,3,74
congress,3,75
do,3,76
effort,3,77
give,3,78
health,3,79
investment,3,80
james,3,81
just,3,82
laden,3,83
lee,3,84
let,3,85
levees,3,86
mr,3,87
neighborhoods,3,88
officers,3,89
opening,3,90
parish,3,91
parishes,3,92
president,3,93
rebuilding,3,94
recover,3,95
recreate,3,96
red,3,97
return,3,98
simply,3,99
spirit,3,100
st,3,101
stronger,3,102
take,3,103
temporary,3,104
up,3,105
world,3,106
9/11,2,107
about,2,108
access,2,109
admiral,2,110
afloat,2,111
allen,2,112
around,2,113
ask,2,114
back,2,115
banks,2,116
better,2,117
beyond,2,118
brave,2,119
bridges,2,120
build,2,121
building,2,122
challenges,2,123
character,2,124
child,2,125
come,2,126
community,2,127
courage,2,128
create,2,129
creating,2,130
cross,2,131
delegation,2,132
destruction,2,133
disaster,2,134
displaced,2,135
doctors,2,136
down,2,137
drove,2,138
each,2,139
embrace,2,140
energy,2,141
even,2,142
faith,2,143
few,2,144
finally,2,145
financial,2,146
forget,2,147
generosity,2,148
god,2,149
governor,2,150
grateful,2,151
great,2,152
guardsmen,2,153
hear,2,154
history,2,155
hope,2,156
hotels,2,157
house,2,158
human,2,159
hundreds,2,160
immediate,2,161
infrastructure,2,162
jefferson,2,163
job,2,164
join,2,165
katrina,2,166
keep,2,167
level,2,168
like,2,169
lives,2,170
local,2,171
long,2,172
longterm,2,173
loss,2,174
louisianans,2,175
loved,2,176
many,2,177
may,2,178
members,2,179
million,2,180
nation's,2,181
no,2,182
nurses,2,183
offer,2,184
ones,2,185
only,2,186
order,2,187
ordinary,2,188
own,2,189
package,2,190
path,2,191
pause,2,192
pay,2,193
places,2,194
police,2,195
prevail,2,196
properly,2,197
reconstruction,2,198
relief,2,199
rescue,2,200
resilient,2,201
rest,2,202
restored,2,203
same,2,204
separated,2,205
services,2,206
ships,2,207
should,2,208
significant,2,209
similar,2,210
southeast,2,211
speak,2,212
stay,2,213
storm,2,214
surrounding,2,215
system,2,216
thanks,2,217
through,2,218
time,2,219
together,2,220
told,2,221
tragedy,2,222
unprecedented,2,223
until,2,224
washington,2,225
water,2,226
way,2,227
would,2,228
100,1,229
70000,1,230
accountability,1,231
activeduty,1,232
administration,1,233
advisor,1,234
afford,1,235
again,1,236
agencies,1,237
agents,1,238
ago,1,239
agreed,1,240
ahead,1,241
aid,1,242
airport,1,243
allowing,1,244
almost,1,245
always,1,246
america,1,247
american,1,248
any,1,249
anyone,1,250
apart,1,251
appoint,1,252
architect,1,253
armstrong,1,254
aside,1,255
assure,1,256
auditor,1,257
away,1,258
bank,1,259
bankers,1,260
been,1,261
begin,1,262
behalf,1,263
benefits,1,264
bernard,1,265
best,1,266
bless,1,267
blood,1,268
bluntly,1,269
boats,1,270
book,1,271
both,1,272
breadwinner,1,273
brigade,1,274
brighter,1,275
bringing,1,276
british,1,277
brothers,1,278
buck,1,279
burned,1,280
buses,1,281
bush,1,282
business,1,283
calling,1,284
can't,1,285
careful,1,286
cash,1,287
central,1,288
challenge,1,289
champion,1,290
charles,1,291
chicago,1,292
classrooms,1,293
clean,1,294
cleaning,1,295
clergy,1,296
closely,1,297
coast,1,298
coastline,1,299
coming,1,300
commandeered,1,301
commanding,1,302
commissioner,1,303
committed,1,304
companies,1,305
comprehension,1,306
concept,1,307
concerns,1,308
confidence,1,309
confident,1,310
confronted,1,311
congressional,1,312
consideration,1,313
contamination,1,314
continue,1,315
contractors,1,316
corners,1,317
correcting,1,318
cover,1,319
crisis,1,320
critical,1,321
cruise,1,322
cut,1,323
damaged,1,324
darkness,1,325
daughter,1,326
daughters,1,327
daunting,1,328
days,1,329
dear,1,330
debris,1,331
demonstrated,1,332
department,1,333
deserve,1,334
design,1,335
designing,1,336
despair,1,337
destroyed,1,338
determination,1,339
difficult,1,340
directed,1,341
directing,1,342
director,1,343
dispersed,1,344
district,1,345
don't,1,346
done,1,347
drain,1,348
draw,1,349
earning,1,350
earth,1,351
earthquake,1,352
eat,1,353
economic,1,354
economies,1,355
education,1,356
employ,1,357
employees,1,358
endeavor,1,359
engineers,1,360
entire,1,361
especially,1,362
ever,1,363
executive,1,364
extension,1,365
fabric,1,366
faced,1,367
facility,1,368
failures,1,369
fair,1,370
faraway,1,371
fashion,1,372
fathers,1,373
fear,1,374
filling,1,375
final,1,376
financing,1,377
finding,1,378
fire,1,379
firefighters,1,380
firms,1,381
flaws,1,382
fleet,1,383
flooded,1,384
flows,1,385
folks,1,386
food,1,387
force,1,388
foremost,1,389
form,1,390
former,1,391
forward,1,392
francisco,1,393
friend,1,394
full,1,395
fully,1,396
further,1,397
general,1,398
george,1,399
get,1,400
glad,1,401
globe,1,402
goal,1,403
goes,1,404
good,1,405
ground,1,406
group,1,407
grow,1,408
guard,1,409
guests,1,410
happens,1,411
heart,1,412
hearts,1,413
helicopter,1,414
heroes,1,415
heroic,1,416
highways,1,417
hired,1,418
historic,1,419
honor,1,420
honored,1,421
hospitals,1,422
i'd,1,423
impossible,1,424
improves,1,425
includes,1,426
including,1,427
initial,1,428
innovative,1,429
inspector,1,430
intact,1,431
international,1,432
into,1,433
invest,1,434
involved,1,435
issuing,1,436
it's,1,437
joined,1,438
labor,1,439
landrieu,1,440
leaders,1,441
learned,1,442
least,1,443
leaving,1,444
led,1,445
legislative,1,446
legislators,1,447
less,1,448
lessons,1,449
levels,1,450
library,1,451
lie,1,452
life,1,453
lift,1,454
lights,1,455
limit,1,456
literally,1,457
live,1,458
lived,1,459
load,1,460
loans,1,461
located,1,462
lots,1,463
louis,1,464
love,1,465
magnitude,1,466
make,1,467
making,1,468
managing,1,469
map,1,470
mayors,1,471
meaning,1,472
meet,1,473
member,1,474
men,1,475
mental,1,476
met,1,477
millions,1,478
misery,1,479
mississippi,1,480
monroe,1,481
months,1,482
morning,1,483
mother,1,484
mothers,1,485
move,1,486
my,1,487
name,1,488
national,1,489
natural,1,490
nearly,1,491
nickel,1,492
noonday,1,493
now,1,494
numbers,1,495
off,1,496
office,1,497
often,1,498
once,1,499
opened,1,500
opportunities,1,501
original,1,502
other,1,503
ourselves,1,504
outside,1,505
over,1,506
overwhelming,1,507
parking,1,508
part,1,509
partner,1,510
passage,1,511
passed,1,512
passengers,1,513
past,1,514
paycheck,1,515
percent,1,516
physical,1,517
pilots,1,518
pitched,1,519
plain,1,520
planes,1,521
plaquemines,1,522
pledge,1,523
port,1,524
possible,1,525
post,1,526
power,1,527
prayer,1,528
prayers,1,529
preserving,1,530
presidents,1,531
primary,1,532
priority,1,533
private,1,534
profound,1,535
progressing,1,536
projects,1,537
protect,1,538
protected,1,539
proud,1,540
public,1,541
purpose,1,542
putting,1,543
quality,1,544
rallied,1,545
ravaged,1,546
reach,1,547
receive,1,548
received,1,549
reengineer,1,550
refinery,1,551
reinvigorate,1,552
remains,1,553
remember,1,554
reminds,1,555
renews,1,556
reopened,1,557
representatives,1,558
reputation,1,559
requesting,1,560
residents,1,561
respond,1,562
responders,1,563
responsibility,1,564
resurrection,1,565
reunite,1,566
reunited,1,567
revenues,1,568
ripped,1,569
rise,1,570
river,1,571
roads,1,572
run,1,573
safeguard,1,574
safely,1,575
safety,1,576
safety¹,1,577
said,1,578
san,1,579
scattered,1,580
school,1,581
schools,1,582
sea,1,583
searching,1,584
secure,1,585
see,1,586
seeing,1,587
seen,1,588
senate,1,589
senators,1,590
sending,1,591
serve,1,592
service,1,593
share,1,594
shelter,1,595
ship,1,596
show,1,597
sister,1,598
sisters,1,599
six,1,600
sleep,1,601
soldiers,1,602
solutions,1,603
someone,1,604
sons,1,605
speaker,1,606
spend,1,607
spending,1,608
spent,1,609
stability,1,610
staff,1,611
standing,1,612
start,1,613
states,1,614
steered,1,615
step,1,616
stops,1,617
streets,1,618
strength,1,619
stretches,1,620
structure,1,621
successes,1,622
such,1,623
suggests,1,624
support,1,625
sure,1,626
survive,1,627
takes,1,628
talk,1,629
tall,1,630
tammany,1,631
tangipahoa,1,632
tape,1,633
task,1,634
tax,1,635
taxpayer,1,636
tell,1,637
telling,1,638
temporarily,1,639
tennessee,1,640
texas,1,641
thad,1,642
thankful,1,643
thing,1,644
things,1,645
thoughts,1,646
thousands,1,647
thrive,1,648
timely,1,649
tireless,1,650
toiled,1,651
top,1,652
tore,1,653
towards,1,654
train,1,655
transform,1,656
trauma,1,657
trucks,1,658
true,1,659
two,1,660
unemployment,1,661
unified,1,662
unique,1,663
unquestioned,1,664
uplifted,1,665
upon,1,666
urgent,1,667
use,1,668
usual,1,669
visiting,1,670
vitter,1,671
volunteers,1,672
w,1,673
wait,1,674
wallets,1,675
waters,1,676
we've,1,677
weathered,1,678
week,1,679
weeks,1,680
well,1,681
wellbeing,1,682
wellspring,1,683
went,1,684
when,1,685
where,1,686
while,1,687
whose,1,688
why,1,689
wildlife,1,690
wiped,1,691
witness,1,692
witt,1,693
women,1,694
working,1,695
worldclass,1,696
worry,1,697
worst,1,698
wrong,1,699
yesterday,1,700
york,1,701
